month,division,line,period,num_passengers,customer journey time performance
2015-01,A DIVISION,4,offpeak,5221827.5,0.822
2015-01,A DIVISION,3,offpeak,3418302.9,0.888
2015-01,A DIVISION,7,peak,4665763.6,0.811
2015-01,A DIVISION,S 42nd,offpeak,1198411.0,0.984
2015-01,A DIVISION,5,peak,4127289.3,0.748
2015-01,A DIVISION,S 42nd,peak,1462829.7,0.971
2015-01,A DIVISION,1,peak,4861190.9,0.882
2015-01,A DIVISION,2,peak,4482149.6,0.809
2015-01,A DIVISION,7,offpeak,4435191.8,0.887
2015-01,A DIVISION,2,offpeak,4411048.4,0.812
2015-01,A DIVISION,3,peak,3338797.5,0.871
2015-01,A DIVISION,1,offpeak,5140615.2,0.904
2015-01,A DIVISION,5,offpeak,3689885.5,0.800
2015-01,A DIVISION,6,peak,7282062.0,0.813
2015-01,A DIVISION,6,offpeak,7306562.7,0.851
2015-01,A DIVISION,4,peak,5225771.0,0.765
2015-02,A DIVISION,4,peak,5825921.2,0.738
2015-02,A DIVISION,6,peak,8218146.3,0.741
2015-02,A DIVISION,4,offpeak,5379076.8,0.803
2015-02,A DIVISION,6,offpeak,7452608.7,0.821
2015-02,A DIVISION,3,peak,3783489.0,0.833
2015-02,A DIVISION,5,offpeak,3756293.8,0.761
2015-02,A DIVISION,5,peak,4556294.0,0.698
2015-02,A DIVISION,7,peak,4030269.6,0.799
2015-02,A DIVISION,2,peak,5051094.8,0.766
2015-02,A DIVISION,2,offpeak,4590496.9,0.772
2015-02,A DIVISION,3,offpeak,3611183.9,0.865
2015-02,A DIVISION,S 42nd,offpeak,1219866.2,0.989
2015-02,A DIVISION,7,offpeak,3539102.4,0.849
2015-02,A DIVISION,S 42nd,peak,1688694.2,0.998
2015-02,A DIVISION,1,peak,5925282.9,0.837
2015-02,A DIVISION,1,offpeak,5684578.1,0.882
2015-03,A DIVISION,2,offpeak,5384494.6,0.780
2015-03,A DIVISION,6,offpeak,9083183.4,0.811
2015-03,A DIVISION,4,offpeak,6311936.4,0.790
2015-03,A DIVISION,3,offpeak,4098954.1,0.880
2015-03,A DIVISION,5,peak,5377261.3,0.699
2015-03,A DIVISION,3,peak,4610145.6,0.839
2015-03,A DIVISION,5,offpeak,4254088.5,0.749
2015-03,A DIVISION,1,peak,7630738.5,0.862
2015-03,A DIVISION,1,offpeak,7111502.0,0.898
2015-03,A DIVISION,7,offpeak,4017492.3,0.837
2015-03,A DIVISION,6,peak,10058762.0,0.782
2015-03,A DIVISION,4,peak,6978588.5,0.728
2015-03,A DIVISION,S 42nd,offpeak,1474805.5,0.990
2015-03,A DIVISION,7,peak,4639444.5,0.804
2015-03,A DIVISION,S 42nd,peak,2063170.2,0.998
2015-03,A DIVISION,2,peak,6052194.5,0.778
2015-04,A DIVISION,5,offpeak,4413499.5,0.767
2015-04,A DIVISION,3,offpeak,4247047.1,0.877
2015-04,A DIVISION,1,offpeak,7140483.7,0.893
2015-04,A DIVISION,4,offpeak,6302123.2,0.813
2015-04,A DIVISION,6,peak,8988000.2,0.804
2015-04,A DIVISION,1,peak,6839094.4,0.903
2015-04,A DIVISION,S 42nd,peak,1955857.5,0.992
2015-04,A DIVISION,4,peak,6344405.6,0.767
2015-04,A DIVISION,5,peak,5012385.6,0.741
2015-04,A DIVISION,7,peak,4424990.3,0.845
2015-04,A DIVISION,7,offpeak,4219929.0,0.842
2015-04,A DIVISION,3,peak,4166554.7,0.882
2015-04,A DIVISION,2,offpeak,5506334.2,0.776
2015-04,A DIVISION,2,peak,5513864.4,0.828
2015-04,A DIVISION,S 42nd,offpeak,1462452.3,0.982
2015-04,A DIVISION,6,offpeak,8920848.8,0.826
2015-05,A DIVISION,7,peak,5276284.2,0.834
2015-05,A DIVISION,3,offpeak,3539146.3,0.876
2015-05,A DIVISION,S 42nd,peak,1758934.6,0.970
2015-05,A DIVISION,2,peak,4968683.2,0.825
2015-05,A DIVISION,1,offpeak,5997569.4,0.884
2015-05,A DIVISION,4,peak,5837038.9,0.736
2015-05,A DIVISION,S 42nd,offpeak,1201640.0,0.984
2015-05,A DIVISION,1,peak,6342386.4,0.898
2015-05,A DIVISION,5,peak,4666149.7,0.712
2015-05,A DIVISION,3,peak,3810770.5,0.878
2015-05,A DIVISION,5,offpeak,3806657.8,0.753
2015-05,A DIVISION,4,offpeak,5310564.9,0.799
2015-05,A DIVISION,6,offpeak,7264485.9,0.841
2015-05,A DIVISION,2,offpeak,4499841.1,0.779
2015-05,A DIVISION,7,offpeak,4697592.5,0.860
2015-05,A DIVISION,6,peak,8031714.0,0.815
2015-06,A DIVISION,2,offpeak,4847989.8,0.775
2015-06,A DIVISION,1,offpeak,6193382.6,0.909
2015-06,A DIVISION,S 42nd,peak,1727569.6,0.955
2015-06,A DIVISION,7,offpeak,4618282.3,0.856
2015-06,A DIVISION,5,offpeak,4071350.2,0.778
2015-06,A DIVISION,2,peak,5333700.3,0.821
2015-06,A DIVISION,4,offpeak,5854674.7,0.817
2015-06,A DIVISION,7,peak,5046025.7,0.862
2015-06,A DIVISION,6,peak,8438407.9,0.808
2015-06,A DIVISION,4,peak,6352394.2,0.753
2015-06,A DIVISION,6,offpeak,7663479.0,0.841
2015-06,A DIVISION,5,peak,4956787.5,0.730
2015-06,A DIVISION,3,offpeak,3746717.9,0.875
2015-06,A DIVISION,3,peak,4051653.1,0.876
2015-06,A DIVISION,1,peak,6531431.6,0.904
2015-06,A DIVISION,S 42nd,offpeak,1205996.4,0.990
2015-07,A DIVISION,3,offpeak,4431183.3,0.868
2015-07,A DIVISION,5,offpeak,4606482.1,0.767
2015-07,A DIVISION,6,offpeak,8891556.7,0.838
2015-07,A DIVISION,4,peak,6439422.3,0.768
2015-07,A DIVISION,S 42nd,offpeak,1564574.0,0.979
2015-07,A DIVISION,S 42nd,peak,1910046.6,0.987
2015-07,A DIVISION,6,peak,8711974.8,0.838
2015-07,A DIVISION,4,offpeak,6638657.0,0.808
2015-07,A DIVISION,2,peak,5384344.8,0.819
2015-07,A DIVISION,5,peak,4974855.0,0.744
2015-07,A DIVISION,1,peak,6859218.5,0.869
2015-07,A DIVISION,1,offpeak,7496916.0,0.861
2015-07,A DIVISION,3,peak,4106906.5,0.871
2015-07,A DIVISION,7,peak,5257829.3,0.827
2015-07,A DIVISION,7,offpeak,5301795.9,0.865
2015-07,A DIVISION,2,offpeak,5630346.9,0.747
2015-08,A DIVISION,2,offpeak,5162391.8,0.769
2015-08,A DIVISION,5,offpeak,4662806.5,0.759
2015-08,A DIVISION,1,offpeak,6578947.4,0.903
2015-08,A DIVISION,4,peak,6531735.9,0.748
2015-08,A DIVISION,4,offpeak,6056933.6,0.809
2015-08,A DIVISION,7,peak,5038485.8,0.872
2015-08,A DIVISION,3,offpeak,4090555.5,0.870
2015-08,A DIVISION,2,peak,5568413.3,0.809
2015-08,A DIVISION,S 42nd,peak,1960289.1,0.984
2015-08,A DIVISION,6,peak,8304209.4,0.823
2015-08,A DIVISION,3,peak,4489809.9,0.854
2015-08,A DIVISION,S 42nd,offpeak,1393196.7,0.978
2015-08,A DIVISION,6,offpeak,7645241.5,0.837
2015-08,A DIVISION,7,offpeak,4702782.7,0.866
2015-08,A DIVISION,1,peak,6825408.0,0.870
2015-08,A DIVISION,5,peak,5516624.7,0.708
2015-09,A DIVISION,2,offpeak,4521702.7,0.771
2015-09,A DIVISION,3,offpeak,3507681.3,0.870
2015-09,A DIVISION,S 42nd,peak,1718947.6,0.966
2015-09,A DIVISION,4,offpeak,5711405.3,0.806
2015-09,A DIVISION,1,offpeak,5720401.2,0.888
2015-09,A DIVISION,3,peak,3676613.9,0.888
2015-09,A DIVISION,5,peak,4652601.5,0.740
2015-09,A DIVISION,5,offpeak,3881674.5,0.765
2015-09,A DIVISION,6,offpeak,7419044.6,0.831
2015-09,A DIVISION,S 42nd,offpeak,1191290.4,0.981
2015-09,A DIVISION,2,peak,4783997.4,0.827
2015-09,A DIVISION,7,offpeak,4357546.0,0.845
2015-09,A DIVISION,1,peak,5871446.3,0.895
2015-09,A DIVISION,6,peak,8065124.5,0.828
2015-09,A DIVISION,7,peak,4703252.7,0.819
2015-09,A DIVISION,4,peak,5906001.0,0.759
2015-10,A DIVISION,2,offpeak,5397635.3,0.778
