month,elevator availabiltiy,escalator availabiltiy
2015-01,0.9644,0.9447
2015-02,0.9645,0.9445
2015-03,0.9654,0.9414
2015-04,0.965,0.94
2015-05,0.973,0.9426
2015-06,0.9643,0.9389
2015-07,0.9666,0.9379
2015-08,0.9666,0.9458
2015-09,0.9657,0.9484
2015-10,0.9659,0.948
2015-11,0.9642,0.9456
2015-12,0.959,0.9362
2016-01,0.9551,0.9356
2016-02,0.9593,0.931
2016-03,0.9576,0.9402
2016-04,0.9606,0.9459
2016-05,0.963,0.9504
2016-06,0.963,0.9516
2016-07,0.9601,0.9353
2016-08,0.9612,0.9383
2016-09,0.9564,0.9279
2016-10,0.9642,0.93
2016-11,0.9581,0.9232
2016-12,0.9487,0.9355
2017-01,0.9495,0.9515
2017-02,0.9568,0.9372
2017-03,0.9525,0.944
2017-04,0.9611,0.9488
2017-05,0.9577,0.9388
2017-06,0.9586,0.9469
2017-07,0.9642,0.947
2017-08,0.9586,0.9406
2017-09,0.9621,0.9436
2017-10,0.9588,0.9462
2017-11,0.9599,0.9419
2017-12,0.9691,0.9491
2018-01,0.954,0.931
2018-02,0.963,0.939
2018-03,0.965,0.942
2018-04,0.965,0.94
2018-05,0.972,0.945
2018-06,0.965,0.946
2018-07,0.966,0.943
2018-08,0.961,0.938
2018-09,0.9712,0.9427
2018-10,0.963,0.914
2018-11,0.96,0.922
2018-12,0.969,0.931
2019-01,0.9608,0.925
2019-02,0.9666,0.9365
2019-03,0.9732,0.8508
2019-04,0.9686,0.8599
2019-05,0.975,0.874
2019-06,0.969,0.887
