month,car class,mdbf
2015-01,R42,45981
2015-01,R46,90950
2015-01,R68A,86097
2015-01,R68,153013
2015-01,R62A,120874
2015-01,R62,210332
2015-01,FLEET,143150
2015-01,R142,146801
2015-01,R142A,81594
2015-01,R143,87881
2015-01,R160,375347
2015-01,R188 - NEW,190156
2015-01,R32,59046
2015-02,R142,151905
2015-02,FLEET,142422
2015-02,R68A,85175
2015-02,R68,152624
2015-02,R62A,117508
2015-02,R62,201943
2015-02,R46,88877
2015-02,R42,42753
2015-02,R32,61192
2015-02,R188 - NEW,144426
2015-02,R160,375314
2015-02,R143,93211
2015-02,R142A,79373
2015-03,R142,159082
2015-03,FLEET,142179
2015-03,R68A,81170
2015-03,R68,149070
2015-03,R62A,115034
2015-03,R62,196546
2015-03,R46,88347
2015-03,R42,45067
2015-03,R32,57471
2015-03,R188 - NEW,141537
2015-03,R188 - CONVERSION,79858
2015-03,R160,373402
2015-03,R143,91156
2015-03,R142A,81411
2015-04,FLEET,142799
2015-04,R68A,78648
2015-04,R68,151111
2015-04,R62A,115613
2015-04,R62,180525
2015-04,R46,91119
2015-04,R42,55119
2015-04,R32,59547
2015-04,R188 - NEW,160144
2015-04,R160,377858
2015-04,R143,91540
2015-04,R142A,83409
2015-04,R142,154921
2015-05,R142A,82715
2015-05,FLEET,144395
2015-05,R68A,80590
2015-05,R68,150795
2015-05,R62A,115029
2015-05,R62,184716
2015-05,R46,96435
2015-05,R42,53973
2015-05,R32,58101
2015-05,R188 - NEW,143652
2015-05,R160,397362
2015-05,R143,89140
2015-05,R142,154485
2015-06,R188 - NEW,127949
2015-06,R160,389131
2015-06,R143,83242
2015-06,R142A,80985
2015-06,R142,152238
2015-06,FLEET,143983
2015-06,R68A,85470
2015-06,R68,145981
2015-06,R62A,118541
2015-06,R62,200700
2015-06,R46,100724
2015-06,R42,55699
2015-06,R32,55540
2015-07,FLEET,141719
2015-07,R68A,87259
2015-07,R68,143243
2015-07,R62A,112581
2015-07,R62,202707
2015-07,R46,101263
2015-07,R42,54684
2015-07,R32,55402
2015-07,R188 - NEW,120617
2015-07,R160,381838
2015-07,R143,76204
2015-07,R142A,76481
2015-07,R142,157685
2015-08,FLEET,141167
2015-08,R68,136795
2015-08,R62A,108329
2015-08,R62,196480
2015-08,R46,106149
2015-08,R42,58420
2015-08,R68A,101101
2015-08,R32,54072
2015-08,R188 - NEW,127232
2015-08,R160,386678
2015-08,R143,72972
2015-08,R142A,71525
2015-08,R142,159357
2015-09,R188 - NEW,129311
2015-09,R42,55975
2015-09,R46,106217
2015-09,R68A,101104
2015-09,R68,135299
2015-09,R62A,102412
2015-09,R62,191901
2015-09,FLEET,138495
2015-09,R142,161375
2015-09,R142A,68424
2015-09,R143,69332
2015-09,R160,378663
2015-09,R32,52418
2015-10,R42,48774
2015-10,R68A,118127
2015-10,R68,130648
2015-10,R62A,97423
2015-10,R62,196021
2015-10,R46,109185
2015-10,FLEET,135912
2015-10,R142,159664
2015-10,R142A,66142
2015-10,R143,66012
2015-10,R160,370543
2015-10,R188 - NEW,127038
2015-10,R32,48392
2015-11,FLEET,134916
2015-11,R68A,131382
2015-11,R68,129936
2015-11,R62A,97622
2015-11,R62,199255
2015-11,R46,106747
2015-11,R42,43297
2015-11,R32,47382
2015-11,R188 - NEW,128114
